N,P,K,EC,Fe,Output
190,7.11,558,0.49,1.63,0
364,11.8,833,0.8,8.98,2
363,12.21,821,0.8,8.65,2
364,11.91,829,0.8,8.98,2
309,7.5,380,0.73,2.96,1
359,11.85,820,0.8,8.98,2
266,5.48,513,0.52,0.21,0
326,10.37,378,0.24,2.72,1
294,3.65,636,0.48,4.88,1
109,6.67,383,0.43,5.16,0
296,6.39,454,0.77,10.27,1
239,7.57,449,0.62,5.08,0
365,8.95,548,0.37,2.11,1
306,7.89,572,0.46,6.7,1
366,12.31,833,0.8,9.03,2
340,10.52,592,0.45,4.14,1
361,11.67,807,0.8,8.96,2
164,5.45,498,0.48,1.5,0
369,12.36,824,0.8,9.03,2
360,11.69,841,0.8,9.02,2
368,12.76,837,0.8,9.03,2
368,12.48,846,0.8,8.53,2
305,7.81,386,0.47,4.84,1
287,9.56,482,0.53,2.28,1
159,6.62,444,0.43,2.38,0
367,11.98,817,0.8,8.76,2
184,7.46,296,0.59,6.91,0
229,7.5,469,0.67,0.21,0
176,6.69,434,0.52,4.84,0
123,9.06,490,0.48,10.55,0
332,8.16,551,0.79,4.7,1
273,10.15,630,0.48,4.61,1
315,8.79,417,0.38,4.7,1
203,7.16,513,0.44,4.64,0
127,5.99,480,0.52,4.3,0
327,10.77,396,0.48,2.74,1
241,57.96,657,0.79,5.22,1
364,11.77,832,0.8,8.79,2
269,7.01,596,0.57,0.92,1
372,11.42,840,0.8,8.89,2
280,2.9,595,0.31,5.32,1
195,9.06,617,0.51,3.53,0
192,7.37,447,0.68,5.2,0
365,12.62,823,0.8,9.03,2
171,5.8,454,0.32,0.21,0
366,12.69,833,0.8,9.03,2
240,6.17,533,0.61,0.21,0
303,12.74,356,0.75,4.9,1
297,10.3,448,0.68,3.79,1
372,11.98,830,0.8,8.74,2
371,12.26,821,0.8,8.6,2
307,11.4,291,0.7,2.73,1
368,11.95,812,0.8,9.03,2
254,5.37,442,0.56,8.61,0
367,12.21,821,0.8,9.03,2
361,12.46,825,0.8,9.03,2
167,6.19,548,0.57,0.52,0
301,12.25,450,0.36,7.23,1
305,10.55,523,0.7,3.07,1
50,8.43,330,0.58,7.51,0
358,11.99,832,0.8,9.03,2
83,9.21,831,0.4,0.82,0
365,11.81,836,0.8,9.03,2
360,12.15,847,0.8,8.88,2
175,93.92,383,0.7,7.1,1
312,10.95,746,0.63,3.19,1
166,7.18,534,0.65,1.72,0
370,11.93,836,0.8,9.03,2
335,6.81,574,0.56,0.59,1
204,8.61,812,0.7,0.21,0
362,11.62,833,0.8,8.91,2
202,8.18,412,0.65,1.79,0
372,6.7,721,0.57,6.86,1
341,6.6,504,0.69,1.0,1
52,6.9,576,0.41,4.9,0
222,6.14,657,0.61,0.93,0
219,12.27,776,0.51,4.95,0
123,5.92,397,0.74,5.07,0
187,9.09,331,0.61,1.27,0
202,9.68,535,0.55,5.23,0
357,12.36,826,0.8,9.03,2
243,8.04,879,0.26,2.37,1
198,8.28,589,0.4,0.21,0
354,11.93,816,0.8,9.03,2
363,11.85,829,0.8,9.03,2
146,6.33,466,0.37,0.76,0
315,11.72,534,0.78,1.76,1
259,5.95,492,0.37,4.43,0
364,12.2,826,0.8,9.03,2
242,56.12,604,0.58,3.76,1
357,12.42,818,0.8,8.97,2
293,6.59,496,0.65,5.04,1
295,7.04,556,0.46,6.16,1
295,10.16,687,0.49,4.83,1
363,11.05,832,0.8,8.87,2
358,11.28,819,0.8,8.7,2
366,11.97,823,0.8,8.73,2
369,11.67,834,0.8,8.43,2
359,11.62,826,0.8,8.88,2
262,11.02,400,0.31,7.28,1
276,13.88,469,0.45,1.91,1
360,12.01,820,0.8,9.03,2
256,7.12,539,0.57,4.8,1
370,12.13,840,0.8,9.03,2
48,77.3,433,0.61,4.77,0
365,11.98,820,0.8,9.03,2
281,12.15,582,0.61,2.86,1
368,12.2,823,0.8,8.82,2
359,11.9,820,0.8,8.67,2
207,53.2,773,0.72,5.98,0
259,11.57,501,0.75,6.57,1
362,12.11,826,0.8,9.03,2
242,3.9,682,0.48,3.53,0
355,11.33,812,0.8,9.03,2
218,10.19,416,0.5,3.53,0
357,12.18,810,0.8,8.37,2
237,8.45,464,0.37,0.8,1
372,12.41,812,0.8,8.87,2
266,5.49,310,0.51,1.9,1
260,6.47,563,0.65,4.38,1
165,4.41,405,0.39,4.13,0
318,12.9,802,0.6,0.22,1
295,10.25,573,0.47,2.11,1
297,4.45,543,0.19,0.22,1
322,7.07,535,0.7,1.63,1
371,11.59,844,0.8,9.03,2
102,68.39,547,0.51,3.02,0
265,5.56,583,0.52,5.64,0
362,12.32,824,0.8,9.03,2
209,7.31,671,0.45,5.47,0
359,11.94,829,0.8,8.67,2
206,7.05,428,0.47,5.99,0
355,12.01,812,0.8,8.98,2
300,7.8,306,0.48,5.42,1
360,12.03,833,0.8,8.58,2
193,9.1,590,0.7,0.21,0
359,12.21,834,0.8,8.92,2
300,13.58,543,0.55,1.73,1
365,12.16,829,0.8,8.7,2
236,9.12,452,0.63,9.02,0
212,9.24,440,0.59,1.65,0
127,4.84,571,0.37,5.84,0
301,8.19,373,0.56,2.21,1
315,9.71,722,0.38,0.22,1
235,8.97,583,0.52,5.34,0
182,6.18,577,0.5,3.56,0
365,12.5,827,0.8,8.45,2
187,7.47,489,0.5,7.79,0
367,12.36,827,0.8,9.03,2
198,8.11,441,0.51,9.91,0
278,13.52,480,0.26,3.3,1
374,9.11,427,0.44,4.93,1
337,9.02,410,0.56,4.84,1
357,12.16,822,0.8,9.03,2
351,11.91,680,0.67,1.48,1
179,6.89,438,0.51,7.15,0
365,11.65,827,0.8,9.03,2
364,11.79,838,0.8,8.8,2
283,9.14,652,0.52,2.89,1
326,6.72,595,0.72,0.26,1
277,10.87,465,0.59,0.39,1
313,9.62,385,0.36,3.93,1
361,12.3,822,0.8,9.03,2
206,7.44,555,0.47,6.77,0
156,6.21,368,0.73,4.58,0
290,8.76,726,0.55,6.86,1
364,11.81,830,0.8,9.03,2
361,11.39,817,0.8,8.48,2
249,72.01,643,0.52,3.3,1
203,7.65,539,0.59,5.77,0
358,12.81,827,0.8,8.77,2
160,102.74,454,0.59,8.83,1
244,87.93,741,0.29,6.79,1
245,4.78,480,0.52,0.22,1
356,11.97,831,0.8,9.03,2
362,12.13,822,0.8,9.03,2
156,8.79,570,0.69,0.21,0
330,8.94,343,0.6,4.99,1
349,9.03,667,0.12,0.22,1
186,6.93,587,0.5,7.25,0
277,7.22,363,0.66,3.28,1
179,9.0,643,0.46,3.48,0
242,5.94,488,0.71,2.57,1
364,12.06,815,0.8,9.03,2
369,11.83,827,0.8,9.03,2
170,6.33,583,0.32,4.39,0
212,6.29,469,0.64,2.17,0
237,6.84,451,0.48,1.56,0
296,8.75,688,0.47,5.8,1
43,6.89,451,0.65,0.46,0
290,9.94,350,0.48,0.49,1
369,11.77,822,0.8,8.68,2
204,8.41,527,0.68,4.96,0
373,11.9,830,0.8,8.64,2
330,5.61,640,0.57,3.87,1
301,6.73,464,0.64,2.84,1
198,5.62,286,0.6,2.94,0
365,12.64,814,0.8,9.03,2
167,6.69,463,0.58,4.44,0
364,12.18,834,0.8,8.92,2
365,12.03,825,0.8,9.03,2
248,7.05,301,0.66,7.69,0
368,8.36,487,0.35,7.98,1
276,10.27,552,0.35,2.78,1
217,8.08,606,0.55,2.1,0
35,5.81,441,0.57,3.22,0
264,8.83,446,0.67,1.79,1
239,4.41,559,0.41,7.33,0
218,6.54,423,0.61,9.54,0
238,70.45,655,0.34,1.6,1
356,12.37,825,0.8,9.03,2
235,8.77,398,0.76,3.86,0
366,12.02,832,0.8,8.48,2
374,16.57,437,0.68,5.63,1
371,12.28,827,0.8,9.03,2
237,7.74,688,0.63,3.65,0
373,12.34,819,0.8,9.03,2
339,6.42,413,0.71,4.98,1
182,7.42,484,0.38,3.76,0
369,11.88,826,0.8,9.03,2
225,8.65,714,0.52,6.86,0
368,12.08,810,0.8,9.03,2
364,12.06,829,0.8,8.16,2
369,11.49,801,0.8,8.98,2
228,8.26,455,0.46,3.38,0
325,4.59,364,0.68,2.57,1
369,11.96,821,0.8,9.03,2
261,7.7,793,0.22,4.42,1
194,9.64,697,0.48,0.67,0
321,8.0,404,0.58,2.22,1
308,8.55,229,0.7,3.59,1
372,12.26,823,0.8,9.03,2
320,10.04,838,0.28,0.22,1
368,8.1,580,0.49,0.67,1
331,5.42,503,0.69,0.73,1
361,11.84,831,0.8,8.25,2
362,11.73,823,0.8,9.03,2
263,121.81,690,0.31,7.44,1
369,12.02,815,0.8,9.03,2
185,7.83,789,0.57,5.49,0
329,11.67,441,0.62,2.07,1
157,7.19,455,0.55,0.87,0
66,6.82,633,0.49,6.92,0
77,7.53,544,0.26,5.89,0
224,7.21,481,0.6,5.46,0
365,12.56,816,0.8,9.03,2
316,10.21,387,0.44,2.84,1
273,5.58,571,0.6,3.08,1
220,7.93,380,0.73,2.68,0
375,12.34,820,0.8,8.94,2
336,9.61,429,0.76,4.15,1
365,11.03,824,0.8,9.03,2
376,9.51,365,0.7,5.09,1
256,9.37,865,0.22,1.88,1
297,13.54,463,0.34,8.51,1
197,4.69,487,0.41,2.08,0
221,9.15,468,0.55,5.91,0
157,7.74,371,0.77,3.37,0
366,12.13,827,0.8,9.03,2
363,8.01,496,0.58,5.68,1
148,6.78,426,0.42,3.96,0
372,12.75,820,0.8,8.46,2
258,6.34,575,0.47,3.92,1
237,8.37,469,0.5,1.91,1
380,11.94,821,0.8,8.97,2
369,11.66,826,0.8,9.03,2
363,12.06,815,0.8,8.7,2
360,12.17,819,0.8,8.91,2
342,8.75,305,0.67,5.07,1
167,7.8,433,0.35,4.86,0
219,9.16,445,0.52,1.56,0
363,12.01,830,0.8,9.03,2
366,12.22,828,0.8,9.03,2
270,7.05,707,0.48,0.21,0
241,6.66,515,0.67,3.32,0
364,12.31,823,0.8,9.03,2
222,3.9,825,0.46,1.62,0
377,10.32,405,0.73,4.83,1
244,7.76,355,0.6,5.61,0
213,6.3,387,0.59,3.74,0
66,6.85,445,0.65,4.23,0
367,12.0,830,0.8,9.03,2
203,9.6,466,0.55,6.78,0
365,11.84,832,0.8,9.03,2
227,5.66,318,0.4,4.57,0
361,12.29,824,0.8,9.03,2
16,8.03,297,0.6,2.72,0
364,12.28,827,0.8,8.17,2
79,89.52,434,0.68,5.29,0
370,11.43,838,0.8,9.03,2
366,12.85,823,0.8,9.03,2
198,8.26,605,0.44,0.95,0
285,9.91,472,0.4,5.47,1
248,8.27,428,0.56,4.07,0
273,88.35,356,0.58,3.83,1
194,7.04,473,0.4,2.23,0
372,11.28,836,0.8,8.93,2
363,12.84,817,0.8,9.03,2
176,9.29,555,0.76,6.76,0
198,8.8,380,0.8,0.21,0
362,11.55,827,0.8,8.93,2
360,11.52,832,0.8,9.03,2
361,11.77,820,0.8,9.03,2
288,14.83,596,0.41,0.89,1
363,12.44,835,0.8,9.03,2
276,11.03,733,0.57,5.65,1
251,6.83,426,0.65,4.38,0
191,8.36,405,0.83,1.28,0
372,12.05,822,0.8,9.03,2
357,12.53,823,0.8,8.76,2
360,12.07,826,0.8,8.62,2
331,8.1,361,0.36,5.21,1
358,12.15,803,0.8,8.49,2
270,8.93,358,0.59,5.94,0
359,12.08,850,0.8,8.0,2
101,6.3,364,0.65,5.43,0
364,12.24,823,0.8,8.83,2
209,7.26,446,0.48,5.93,0
245,58.11,832,0.56,4.99,1
281,14.65,425,0.49,3.01,1
213,6.22,426,0.65,4.11,0
289,9.51,867,0.43,3.49,1
320,8.37,518,0.74,6.65,1
335,8.95,572,0.64,6.87,1
298,14.43,449,0.67,5.78,1
154,6.61,432,0.73,4.09,0
211,8.09,515,0.65,8.06,0
358,12.07,819,0.8,8.88,2
259,107.23,667,0.4,5.92,1
369,12.25,829,0.8,8.72,2
363,12.58,835,0.8,8.35,2
359,11.74,827,0.8,9.03,2
266,7.92,379,0.57,0.32,1
208,8.61,562,0.52,4.36,0
311,9.32,486,0.55,9.64,1
188,8.98,447,0.44,5.46,0
157,8.63,632,0.5,6.88,0
181,7.89,440,0.38,5.92,0
345,12.69,416,0.45,3.2,1
368,12.02,836,0.8,9.03,2
61,9.5,324,0.45,1.36,0
366,12.39,828,0.8,9.03,2
220,5.66,387,0.81,5.34,0
224,12.02,775,0.54,8.45,0
361,11.67,825,0.8,8.9,2
365,12.12,812,0.8,9.01,2
366,12.21,831,0.8,8.94,2
362,12.37,822,0.8,9.03,2
362,12.01,823,0.8,9.03,2
211,7.62,564,0.75,6.49,0
359,11.86,835,0.8,9.03,2
361,12.52,818,0.8,8.92,2
151,7.02,265,0.73,0.6,0
323,9.12,439,0.44,2.65,1
364,12.36,825,0.8,9.03,2
370,11.94,819,0.8,9.03,2
274,10.95,569,0.53,5.82,1
276,5.95,525,0.57,3.27,0
204,6.12,319,0.6,2.14,0
196,6.66,498,0.62,3.19,0
217,5.36,478,0.75,3.38,0
363,12.59,820,0.8,9.03,2
275,15.56,543,0.34,7.89,1
366,12.28,820,0.8,8.38,2
258,6.72,243,0.35,4.72,0
366,11.47,824,0.8,9.03,2
368,11.77,824,0.8,8.62,2
374,12.2,829,0.8,9.03,2
205,4.38,442,0.46,1.46,0
271,9.09,710,0.41,0.22,1
181,93.28,489,0.43,6.48,0
367,12.19,824,0.8,9.03,2
365,11.86,834,0.8,9.03,2
302,9.45,348,0.61,2.97,1
197,7.06,618,0.64,3.12,0
255,7.43,295,0.5,5.71,0
207,6.86,377,0.6,2.78,0
200,6.14,355,0.59,6.83,0
198,7.39,444,0.38,4.37,0
206,9.36,507,0.48,3.54,0
366,12.24,834,0.8,8.71,2
360,11.73,821,0.8,9.03,2
203,7.55,480,0.54,2.66,0
119,63.39,547,0.49,5.39,0
189,7.47,455,0.48,1.35,0
357,7.77,348,0.68,3.95,1
230,6.5,420,0.51,10.23,0
236,9.09,488,0.28,3.16,0
176,9.15,521,0.71,1.42,0
259,8.66,347,0.44,1.4,1
360,11.81,829,0.8,9.03,2
280,6.29,652,0.26,4.71,1
354,11.26,385,0.44,2.37,1
369,12.31,840,0.8,8.89,2
278,16.31,333,0.81,8.57,1
147,7.72,528,0.7,2.89,0
12,77.84,407,0.59,1.94,0
374,12.09,821,0.8,8.76,2
367,12.3,822,0.8,9.03,2
369,12.28,827,0.8,8.84,2
198,6.83,470,0.62,3.44,0
220,4.63,519,0.88,2.93,0
170,8.82,331,0.35,4.37,0
255,50.76,823,0.2,5.69,1
207,7.76,247,0.6,0.21,0
66,7.98,423,0.72,3.55,0
372,12.13,837,0.8,8.49,2
221,4.78,458,0.47,3.75,0
361,12.4,819,0.8,9.03,2
259,7.21,524,0.58,2.8,0
256,10.59,422,0.51,4.26,0
224,71.7,635,0.48,4.47,1
344,6.1,530,0.66,2.3,1
367,12.29,821,0.8,8.61,2
255,8.51,494,0.53,4.28,0
366,11.49,832,0.8,9.03,2
281,12.98,529,0.65,7.61,1
377,12.19,818,0.8,8.08,2
310,6.27,480,0.45,5.11,1
170,74.59,673,0.51,3.19,1
311,8.17,455,0.51,6.56,1
318,7.27,438,0.26,3.25,1
173,47.89,779,0.52,2.58,1
175,6.56,230,0.47,3.47,0
164,7.88,471,0.3,1.06,0
369,11.47,816,0.8,9.03,2
256,9.75,465,0.57,4.32,1
223,7.91,453,0.47,5.37,0
48,7.18,597,0.59,3.02,0
371,12.01,826,0.8,8.8,2
157,7.81,309,0.55,4.75,0
67,8.37,516,0.62,0.72,0
368,11.53,836,0.8,8.74,2
363,11.98,847,0.8,9.03,2
292,8.11,353,0.49,6.55,1
39,80.66,418,0.62,3.59,0
369,11.82,828,0.8,8.94,2
295,12.26,468,0.43,6.97,1
294,8.75,504,0.56,2.98,1
219,6.75,485,0.46,4.87,0
359,11.32,836,0.8,9.03,2
365,11.78,815,0.8,9.03,2
289,3.49,342,0.58,8.29,1
363,12.25,819,0.8,8.83,2
230,8.65,374,0.47,6.05,0
206,8.89,623,0.53,3.4,0
260,8.33,536,0.15,1.48,1
298,6.31,396,0.62,0.22,1
365,12.8,812,0.8,9.03,2
236,7.81,234,0.45,3.32,0
205,6.65,662,0.5,1.07,0
330,9.37,574,0.47,0.22,1
367,11.99,831,0.8,9.03,2
372,11.84,828,0.8,9.03,2
360,11.57,826,0.8,8.45,2
273,2.9,473,0.44,2.87,1
210,7.22,373,0.7,1.47,0
294,12.67,553,0.57,4.02,1
221,8.7,425,0.62,5.76,0
354,6.53,589,0.64,0.22,1
269,14.65,403,0.83,6.17,1
362,11.95,831,0.8,9.03,2
67,7.23,404,0.41,0.69,1
345,7.09,530,0.77,6.12,1
372,11.8,820,0.8,9.03,2
363,11.64,812,0.8,8.94,2
358,11.78,839,0.8,8.44,2
248,7.04,370,0.7,6.48,1
363,12.27,833,0.8,8.87,2
235,7.25,675,0.44,3.07,0
56,69.58,462,0.52,2.69,0
364,11.99,834,0.8,9.03,2
269,6.33,681,0.6,2.6,0
362,12.2,825,0.8,8.99,2
282,13.01,512,0.42,0.65,1
302,7.47,523,0.7,7.66,1
206,8.29,575,0.46,5.62,0
356,11.88,818,0.8,8.83,2
212,9.63,416,0.71,1.56,0
352,12.46,819,0.8,8.61,2
253,80.42,449,0.47,4.16,1
291,2.9,244,0.61,2.76,1
178,9.91,391,0.74,3.21,0
351,4.27,319,0.58,3.84,1
360,12.09,836,0.8,9.03,2
147,4.55,316,0.47,2.73,0
275,12.14,504,0.47,6.0,1
236,7.83,790,0.89,0.21,0
354,8.04,499,0.44,3.29,1
365,12.31,835,0.8,9.03,2
310,6.67,611,0.54,0.22,1
285,7.89,406,0.42,4.46,1
203,8.14,344,0.68,1.08,0
333,10.85,430,0.6,6.31,1
214,9.06,506,0.34,4.34,0
244,8.15,417,0.44,4.37,1
279,10.62,561,0.21,2.95,1
365,12.18,829,0.8,9.03,2
376,11.92,827,0.8,8.94,2
366,12.07,824,0.8,8.97,2
373,8.46,553,0.54,3.88,1
42,6.66,568,0.66,4.97,0
356,12.37,821,0.8,8.53,2
271,6.63,498,0.58,4.67,0
367,11.55,830,0.8,9.03,2
361,12.22,807,0.8,9.03,2
65,4.38,537,0.43,4.53,0
209,4.83,446,0.36,2.73,0
368,11.91,817,0.8,8.83,2
293,7.27,416,0.48,5.9,1
366,12.07,841,0.8,9.03,2
363,7.83,552,0.56,2.78,1
296,3.08,512,0.33,39.87,1
235,6.03,404,0.68,8.24,0
359,11.89,826,0.8,8.71,2
274,6.72,573,0.6,6.79,1
336,7.28,710,0.44,3.3,1
292,8.07,673,0.54,6.56,1
377,12.04,571,0.65,4.49,1
159,7.54,368,0.58,9.53,0
184,34.93,759,0.68,3.33,0
312,7.21,663,0.36,6.63,1
364,11.61,828,0.8,9.03,2
355,12.42,813,0.8,8.48,2
349,10.39,345,0.71,5.06,1
369,12.41,809,0.8,9.03,2
80,8.04,461,0.38,5.26,0
372,11.66,820,0.8,9.03,2
261,13.94,413,0.37,1.7,1
196,5.59,398,0.73,3.78,0
225,6.92,440,0.52,2.21,1
324,5.01,339,0.67,3.42,1
368,11.52,822,0.8,8.81,2
367,12.01,830,0.8,8.94,2
362,12.37,813,0.8,9.03,2
323,8.7,573,0.54,1.96,1
369,12.12,818,0.8,9.03,2
359,11.87,810,0.8,9.03,2
292,10.34,344,0.45,4.55,1
370,12.06,818,0.8,8.85,2
293,11.56,617,0.68,6.47,1
176,6.96,318,0.51,4.67,0
306,3.88,284,0.62,7.05,1
370,11.98,831,0.8,9.03,2
362,11.68,829,0.8,8.84,2
365,12.07,836,0.8,9.03,2
239,8.74,432,0.71,0.21,0
215,111.37,726,0.56,7.8,1
126,71.71,526,0.53,4.7,0
364,11.67,826,0.8,8.51,2
273,7.25,470,0.69,3.21,0
365,12.13,835,0.8,9.03,2
255,7.62,440,0.55,6.12,0
220,22.86,768,0.66,5.3,0
359,12.45,811,0.8,8.37,2
364,11.57,839,0.8,9.03,2
221,8.82,458,0.47,4.2,0
362,11.88,831,0.8,9.03,2
365,12.36,837,0.8,9.03,2
204,6.68,620,0.57,1.15,0
212,5.81,332,0.66,2.91,0
359,12.2,817,0.8,9.03,2
356,11.56,823,0.8,9.03,2
369,12.72,825,0.8,8.62,2
202,8.18,540,0.57,2.11,0
241,6.66,404,0.58,5.27,0
281,12.61,419,0.6,3.52,1
293,5.18,451,0.65,4.02,1
366,11.83,836,0.8,9.03,2
371,12.04,818,0.8,8.76,2
370,12.1,836,0.8,8.8,2
367,11.51,834,0.8,9.03,2
352,10.77,579,0.76,1.12,1
141,6.25,654,0.36,4.51,0
377,8.65,555,0.32,1.32,1
280,11.8,572,0.64,5.23,1
244,9.33,419,0.66,1.31,0
216,10.05,477,0.38,1.92,0
134,7.55,627,0.65,0.21,0
363,12.01,842,0.8,9.03,2
364,12.31,821,0.8,8.95,2
273,6.86,502,0.64,5.44,0
303,12.14,455,0.42,1.49,1
365,12.17,821,0.8,8.85,2
206,6.22,739,0.41,0.21,0
362,11.82,822,0.8,8.48,2
14,4.32,381,0.69,1.37,0
223,90.23,527,0.49,6.99,0
253,9.33,554,0.73,5.06,1
276,11.8,627,0.25,6.62,1
300,3.54,520,0.29,29.55,1
368,12.54,834,0.8,8.97,2
206,6.69,529,0.64,4.79,0
205,7.69,439,0.45,2.89,0
361,12.12,821,0.8,9.03,2
53,7.79,505,0.24,0.21,0
368,12.48,835,0.8,9.03,2
371,11.9,832,0.8,9.03,2
369,11.83,825,0.8,9.03,2
368,12.88,834,0.8,8.95,2
368,12.14,831,0.8,8.85,2
47,8.09,466,0.38,0.86,1
365,12.22,826,0.8,8.78,2
293,8.7,399,0.41,7.08,1
364,6.69,581,0.55,2.32,1
361,12.34,831,0.8,8.85,2
287,11.54,326,0.46,0.22,1
363,11.98,816,0.8,9.03,2
27,7.44,216,0.69,1.54,0
228,5.09,559,0.85,0.21,0
261,13.22,496,0.76,0.22,1
287,6.56,388,0.51,8.14,1
318,5.05,340,0.57,6.32,1
354,7.55,525,0.67,3.54,1
230,6.74,441,0.41,4.68,0
360,5.62,506,0.66,2.13,1
363,12.55,822,0.8,9.03,2
185,6.0,520,0.37,5.08,0
352,11.39,813,0.8,9.03,2
363,11.54,838,0.8,8.99,2
261,7.54,551,0.67,4.78,0
373,11.17,816,0.8,9.03,2
279,7.9,788,0.63,2.31,0
374,11.63,820,0.8,8.89,2
187,5.16,349,0.77,9.05,0
275,73.23,280,0.63,1.34,1
169,7.56,428,0.64,6.72,0
196,8.18,711,0.84,3.35,0
366,12.05,832,0.8,9.03,2
347,7.07,620,0.43,0.22,1
296,13.09,495,0.52,4.47,1
181,5.71,416,0.46,6.54,0
365,11.97,826,0.8,8.75,2
227,6.34,287,0.4,5.58,0
370,12.17,818,0.8,9.03,2
194,7.6,609,0.51,0.21,0
175,8.01,532,0.53,3.16,0
368,11.74,825,0.8,8.82,2
37,7.46,425,0.7,0.21,0
367,12.09,835,0.8,9.03,2
252,6.89,500,0.44,4.6,0
369,12.22,833,0.8,8.95,2
272,7.4,461,0.44,4.64,1
302,75.63,228,0.74,4.64,1
241,6.62,564,0.48,7.88,0
253,10.19,501,0.42,5.13,1
285,14.03,510,0.47,6.59,1
366,12.06,830,0.8,9.03,2
191,7.56,439,0.56,6.65,0
267,13.63,494,0.72,1.3,1
57,7.85,627,0.32,3.58,0
183,94.3,721,0.79,5.91,0
308,4.03,192,0.49,3.02,1
264,18.89,380,0.72,6.61,1
301,9.57,387,0.72,0.94,1
111,6.67,448,0.57,0.34,1
173,8.55,599,0.51,3.3,0
182,6.92,373,0.52,3.55,0
249,5.99,462,0.45,2.55,0
311,5.26,494,0.32,3.31,1
213,8.04,491,0.66,9.24,0
252,5.97,485,0.46,10.55,0
226,6.04,504,0.45,3.83,0
219,8.43,454,0.8,2.82,0
257,7.46,440,0.74,6.75,0
356,7.74,282,0.7,5.76,1
204,121.53,586,0.57,8.43,1
380,12.6,840,0.8,8.81,2
358,11.95,830,0.8,9.03,2
337,8.94,591,0.58,4.69,1
369,12.07,826,0.8,8.73,2
218,9.93,396,0.65,4.71,0
364,11.45,825,0.8,9.03,2
133,7.27,451,0.28,2.72,0
338,11.3,340,0.43,3.89,1
374,12.08,810,0.8,9.03,2
269,5.22,599,0.58,5.85,1
229,100.69,425,0.7,4.31,1
355,12.12,819,0.8,8.46,2
207,5.02,373,0.55,2.74,0
198,7.96,609,0.37,4.19,0
368,11.98,827,0.8,9.03,2
360,12.0,834,0.8,9.03,2
316,10.09,741,0.27,6.08,1
359,12.18,830,0.8,9.03,2
270,7.62,432,0.48,4.65,1
125,6.48,366,0.75,4.81,0
364,12.42,820,0.8,9.03,2
131,6.12,455,0.24,0.21,0
339,10.42,310,0.68,6.7,1
362,12.16,829,0.8,8.71,2
372,11.84,825,0.8,8.41,2
60,8.01,454,0.62,6.67,0
180,9.15,469,0.6,2.79,0
371,11.81,823,0.8,9.03,2
271,9.82,469,0.46,3.08,1
